"ACT composite score","SAT total score","parental level of education","parental income","high school gpa","college gpa","years to graduate"
"30","2206","master's degree","94873","4.0","3.8","3"
"26","1953","some college","42767","3.6","2.7","9"
"28","2115","some high school","46316","4.0","3.3","5"
"33","2110","some high school","52370","4.0","3.5","4"
"30","2168","bachelor's degree","92665","4.0","3.6","4"
"25","1854","bachelor's degree","76340","3.5","3.3","4"
"30","2016","associate's degree","65867","3.8","3.7","3"
"23","1722","high school","64495","3.0","3.3","5"
"27","1880","some college","78662","3.5","3.3","4"
"28","1994","associate's degree","61772","3.7","3.4","4"
"32","2225","associate's degree","84872","4.0","3.8","4"
"29","2099","some college","59881","4.0","3.5","4"
"28","1970","some college","70274","3.6","3.7","7"
"28","1973","some high school","50777","3.6","3.0","9"
"30","2027","bachelor's degree","68641","3.9","3.7","3"
"30","2110","associate's degree","83889","4.0","3.7","3"
"30","2123","high school","43775","4.0","3.3","6"
"29","2012","some high school","43252","3.8","3.5","4"
"20","1556","high school","35045","2.9","3.1","8"
"28","2012","associate's degree","46312","3.9","3.1","6"
"26","1853","high school","50104","3.4","3.2","4"
"28","1955","high school","61843","3.6","3.2","5"
"28","2080","some high school","44574","3.8","3.3","5"
"27","1944","some college","55924","3.8","3.3","6"
"30","1917","high school","34236","3.7","3.0","6"
"27","2020","some college","77246","3.8","3.5","7"
"28","1900","bachelor's degree","109268","3.7","3.6","5"
"28","2058","master's degree","96573","3.9","3.6","4"
"31","2098","associate's degree","59342","4.0","3.4","4"
"30","2129","bachelor's degree","61673","4.0","3.4","4"
"26","1916","some college","53951","3.5","3.2","5"
"32","2113","some college","83790","4.0","3.5","4"
"30","2057","some high school","36417","3.9","3.3","7"
"30","1938","high school","62408","3.8","3.6","5"
"25","1846","some college","63766","3.3","3.1","6"
"29","2051","associate's degree","103448","4.0","3.3","5"
"28","1901","high school","52303","3.4","3.3","4"
"34","2363","master's degree","90775","4.0","3.6","4"
"31","2137","high school","78209","4.0","3.6","4"
"27","1976","associate's degree","61095","3.6","3.3","4"
"31","2226","some college","62106","4.0","3.5","4"
"33","2087","high school","64036","4.0","3.6","4"
"27","1887","some high school","52376","3.5","3.2","4"
"29","2010","some college","72543","3.9","3.2","5"
"27","1923","high school","39928","3.6","3.3","5"
"25","1772","some high school","41330","3.3","2.7","8"
"33","2266","some college","58202","4.0","3.5","4"
"25","1770","some high school","30912","3.2","3.0","7"
"25","1815","bachelor's degree","85050","3.4","3.5","3"
"30","2052","some college","62938","4.0","3.5","4"
"31","2082","associate's degree","103707","4.0","3.9","6"
"29","2020","some college","64155","4.0","3.4","6"
"26","1825","some college","73755","3.3","3.0","5"
"25","1823","some high school","35101","3.2","2.9","7"
"26","1869","some high school","60561","3.4","3.2","4"
"27","1914","high school","41696","3.5","3.4","6"
"32","2043","high school","67559","3.9","3.7","3"
"27","1958","high school","78607","3.5","3.4","4"
"26","1874","associate's degree","94849","3.5","3.6","6"
"26","1955","some college","48315","3.4","3.5","4"
"26","1879","some high school","36954","3.5","2.9","7"
"31","2213","associate's degree","67103","4.0","3.5","6"
"29","1979","some high school","46971","3.7","3.4","5"
"28","2016","some high school","25286","3.8","3.2","6"
"29","1966","high school","68429","3.8","3.5","4"
"32","2161","master's degree","75974","4.0","3.8","3"
"28","1966","some high school","60277","3.7","3.5","3"
"32","2090","some college","48111","4.0","3.1","6"
"26","1882","high school","38406","3.5","3.3","9"
"27","1878","some high school","39627","3.4","3.2","7"
"30","2082","associate's degree","70542","4.0","3.7","6"
"24","1799","some high school","47642","3.2","3.0","6"
"31","2088","some college","52308","4.0","3.5","4"
"26","1808","some high school","63384","3.3","3.0","5"
"27","1998","associate's degree","78942","3.7","3.4","4"
"32","2235","associate's degree","81917","4.0","3.5","4"
"30","1976","associate's degree","77523","3.9","3.6","4"
"31","2147","associate's degree","72406","4.0","3.5","5"
"30","2089","associate's degree","92152","3.9","3.1","5"
"26","1780","some high school","56465","3.3","3.1","5"
"27","1913","some college","87422","3.5","3.3","4"
"28","2025","high school","70982","3.7","3.3","7"
"26","1847","some college","33990","3.4","3.2","5"
"30","2168","associate's degree","86210","4.0","3.4","6"
"26","1850","high school","33501","3.5","3.2","7"
"25","1769","high school","63120","3.2","3.0","5"
"28","1874","associate's degree","85002","3.7","3.1","5"
"34","2169","associate's degree","64046","4.0","3.8","3"
"33","2266","associate's degree","73048","4.0","3.7","6"
"33","2226","some college","67941","4.0","3.3","5"
"28","2014","associate's degree","72934","3.7","3.3","5"
"29","2145","associate's degree","85913","3.9","3.4","5"
"30","2074","some college","38704","3.9","3.4","4"
"28","1909","some high school","49866","3.6","3.1","5"
